"count","word"
"1623","und"
"1532","die"
"1055","der"
"921","in"
"838","wir"
"555","zu"
"543","das"
"523","uns"
"488","sie"
"479","ist"
"457","es"
"454","nicht"
"431","den"
"381","auch"
"356","ich"
"341","von"
"321","für"
"315","sich"
"279","auf"
"276","sind"
"264","an"
"262","ein"
"256","menschen"
"255","haben"
"252","mit"
"232","im"
"216","eine"
"213","aber"
"208","des"
"208","dass"
"194","wie"
"179","dem"
"173","so"
"158","leben"
"157","um"
"156","als"
"153","nur"
"151","ihnen"
"150",""
"147","wenn"
"145","unsere"
"139","werden"
"136","frieden"
"132","oder"
"132","alle"
"129","wollen"
"129","können"
"127","hat"
"126","vor"
"123","was"
"123","bei"
"113","aus"
"108","noch"
"106","weihnachten"
"105","allen"
"104","welt"
"101","wird"
"100","unserer"
"99","er"
"95","jahr"
"91","über"
"89","kann"
"89","heute"
"86","viele"
"86","sein"
"83","wieder"
"83","immer"
"82","gibt"
"80","zeit"
"80","selbst"
"79","zum"
"79","am"
"78","nach"
"77","mehr"
"77","man"
"77","dann"
"76","müssen"
"73","unser"
"73","einer"
"73","diese"
"72","familie"
"72","einen"
"72","anderen"
"71","land"
"71","ihre"
"70","daß"
"69","viel"
"68","unseren"
"67","freiheit"
"65","unserem"
"64","sondern"
"64","einem"
"64","deutschen"
"63","deutschland"
"62","kinder"
"61","ihr"
"60","zur"
"60","war"
"60","vielen"
"60","liebe"
"60","ganz"
"60","fest"
"59","weihnachtsfest"
"59","doch"
"58","diesem"
"57","jeder"
"57","gesellschaft"
"57","diesen"
"56","meine"
"56","geht"
"54","etwas"
"54","durch"
"54","denken"
"54","denen"
"54","allem"
"53","tagen"
"52","ohne"
"52","guten"
"52","gut"
"51","tun"
"50","ihren"
"49","weil"
"49","mich"
"48","keine"
"48","alles"
"47","zukunft"
"47","wer"
"47","unter"
"47","oft"
"47","mir"
"47","lassen"
"47","freude"
"47","damit"
"47","da"
"46","not"
"46","daran"
"45","wünschen"
"44","machen"
"44","kraft"
"43","habe"
"43","friede"
"43","besonders"
"42","gerade"
"42","frau"
"41","andere"
"40","jahre"
"40","ja"
"40","eines"
"39","großen"
"39","eigenen"
"39","dafür"
"38","wünsche"
"38","seine"
"38","muss"
"38","ihrer"
"38","dieser"
"38","denn"
"38","abend"
"37","sollten"
"37","neue"
"37","helfen"
"37","gott"
"37","geben"
"37","dieses"
"36","schon"
"36","ob"
"36","jetzt"
"36","arbeit"
"35","wo"
"35","wissen"
"35","verantwortung"
"35","hier"
"35","familien"
"34","gilt"
"34","feiern"
"34","eltern"
"34","dazu"
"34","botschaft"
"33","soll"
"33","dort"
"32","vertrauen"
"32","sorgen"
"32","kein"
"32","friedens"
"32","einmal"
"32","denke"
"31","will"
"31","vom"
"31","vielleicht"
"31","sagen"
"30","wirklich"
"30","sehr"
"30","nun"
"30","finden"
"30","deutsche"
"30","brauchen"
"29","weiß"
"29","waren"
"29","unseres"
"29","macht"
"29","kindern"
"29","heimat"
"29","große"
"29","gemeinsam"
"29","allein"
"28","willens"
"28","miteinander"
"28","licht"
"28","kommt"
"28","jahren"
"28","aller"
"27","volk"
"27","tage"
"27","staat"
"27","recht"
"27","erden"
"26","–"
"26","möchte"
"26","heiligen"
"26","geburt"
"26","europa"
"26","bürger"
"25","steht"
"25","jeden"
"25","hilfe"
"25","gutes"
"25","gedanken"
"24","zeiten"
"24","soldaten"
"24","seit"
"24","seiner"
"24","ihm"
"24","gewalt"
"24","ende"
"24","bin"
"23","zwischen"
"23","willen"
"23","stehen"
"23","menschheit"
"23","landsleute"
"23","herzen"
"23","heißt"
"23","gute"
"23","gehen"
"23","davon"
"23","angst"
"22","weg"
